PUERTO DE CARGUE;PUERTO DESCARGUE;DIVISA;20'';40''/HC;SERVICIO;TIEMPO DE TRANSITO //TT;BL;GASTOS FOB;GASTOS NAVIERA;MANEJO;COLLECT FEE;PAIS
NAVEGANTES;CARTAGENA;USD;787;887;DIRECTO;15;50;120;210;150;35;BRASIL
PARNAGUA;CARTAGENA;USD;965;1240;DIRECTO;17;50;120;210;150;35;BRASIL
RIO GRANDE;CARTAGENA;USD;787;887;DIRECTO;17;50;120;210;150;35;BRASIL
SANTOS;CARTAGENA;USD;867;965;DIRECTO;13;50;120;210;150;35;BRASIL
ITAPOA;CARTAGENA;USD;837;937;DIRECTO;17;50;120;210;150;35;BRASIL
ITAJAI;CARTAGENA;USD;787;887;DIRECTO;14;50;120;210;150;35;BRASIL
RIO DE JANEIRO;CARTAGENA;USD;787;887;DIRECTO;12;50;120;210;150;35;BRASIL
BARCELONA;CARTAGENA;EUR;640;1070;DIRECTO;17;50;380;210;150;35;EUROPA
VALENCIA;CARTAGENA;EUR;640;1070;DIRECTO;17;50;380;210;150;35;EUROPA
LA SPEZIA;CARTAGENA;EUR;1100;1353;VIA CRISTOBAL;22;50;350;210;150;35;EUROPA
GENOVA;CARTAGENA;EUR;1350;1720;DIRECTO;16;50;380;210;150;35;EUROPA
ALGECIRAS;CARTAGENA;EUR;620;1086;DIRECTO;15;50;350;210;150;35;EUROPA
NHAVA SHEVA;BUENAVENTURA;USD;620;977;DIRECTO;18;50;120;210;150;35;INDIA
ROTTERDAM;CARTAGENA;USD;600;1200;DIRECTO;30;50;80;210;150;35;PAISES BAJOS
PORT EVERGLADES,FL;CARTAGENA;USD;760;1400;DIRECTO;6;50;400;210;150;35;USA
SHENZHEN;BUENAVENTURA;USD;550;900;DIRECTO;30;50;75;180;150;35;CHINA
HKG;BUENAVENTURA;USD;550;900;DIRECTO;30;50;75;180;150;35;CHINA
QINGDAO;BUENAVENTURA;USD;550;900;DIRECTO;30;50;75;180;150;35;CHINA
XINGANG;BUENAVENTURA;USD;550;900;DIRECTO;30;50;75;180;150;35;CHINA
DALIAN;BUENAVENTURA;USD;550;900;DIRECTO;30;50;75;180;150;35;CHINA
SHANGHAI;BUENAVENTURA;USD;550;900;DIRECTO;30;50;75;180;150;35;CHINA
XIAMEN;BUENAVENTURA;USD;550;900;DIRECTO;30;50;75;180;150;35;CHINA
NINGBO;BUENAVENTURA;USD;550;900;DIRECTO;30;50;75;180;150;35;CHINA
GUANGZHOU;BUENAVENTURA;USD;645;1020;DIRECTO;35;50;75;180;150;35;CHINA
HUANGPU;BUENAVENTURA;USD;645;1020;DIRECTO;35;50;75;180;150;35;CHINA
FOSHAN;BUENAVENTURA;USD;720;1130;DIRECTO;35;50;75;180;150;35;CHINA
ZHUHAI;BUENAVENTURA;USD;720;1130;DIRECTO;35;50;75;180;150;35;CHINA
JIANGMEN;BUENAVENTURA;USD;670;1075;DIRECTO;35;50;75;180;150;35;CHINA
ZHONGSHAN;BUENAVENTURA;USD;670;1075;DIRECTO;35;50;75;180;150;35;CHINA
SHANTOU;BUENAVENTURA;USD;670;1110;DIRECTO;37;50;75;180;150;35;CHINA
KAOHSUING;BUENAVENTURA;USD;600;1000;DIRECTO;28;50;75;180;150;35;CHINA
KEELUNG;BUENAVENTURA;USD;600;1000;DIRECTO;28;50;75;180;150;35;CHINA
TAICHUANG;BUENAVENTURA;USD;600;1000;DIRECTO;28;50;75;180;150;35;CHINA
BUSAN;BUENAVENTURA;USD;600;1000;DIRECTO;28;50;75;180;150;35;CHINA
FUZHOU;BUENAVENTURA;USD;650;1100;DIRECTO;33;50;75;180;150;35;CHINA
LAEM CHABANG;BUENAVENTURA;USD;800;1400;DIRECTO;35;50;75;180;150;35;CHINA
TPP;BUENAVENTURA;USD;800;1400;DIRECTO;35;50;75;180;150;35;CHINA
SINGAPORE;BUENAVENTURA;USD;800;1400;DIRECTO;35;50;75;180;150;35;CHINA
PORT KLANG;BUENAVENTURA;USD;800;1400;DIRECTO;35;50;75;180;150;35;CHINA
JAKARTA;BUENAVENTURA;USD;800;1400;DIRECTO;35;50;75;180;0;0;CHINA
MANILA;BUENAVENTURA;USD;800;1400;DIRECTO;35;50;75;180;0;0;CHINA
HO CHI MINH;BUENAVENTURA;USD;800;1400;DIRECTO;35;50;75;180;0;0;CHINA
BANGKOK;BUENAVENTURA;USD;800;1400;DIRECTO;35;50;75;180;0;0;CHINA
NAGOYA;BUENAVENTURA;USD;950;1400;DIRECTO;35;50;75;180;0;0;CHINA
KOBE;BUENAVENTURA;USD;950;1400;DIRECTO;35;50;75;180;0;0;CHINA
YOKOHAMA;BUENAVENTURA;USD;950;1400;DIRECTO;35;50;75;180;0;0;CHINA
HAIPHONG;BUENAVENTURA;USD;1000;1800;DIRECTO;35;50;75;180;0;0;CHINA
